Hour,red_cage,orange_cage,blue_cage,green_cage,yellow_cage
0,2.5166666666666666,0.5333333333333333,3.0166666666666666,53.93333333333333,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,59.85,0.0,0.15
4,0.0,0.8,57.916666666666664,1.2833333333333334,0.0
5,0.0,0.0,0.0,60.0,0.0
6,0.0,1.2833333333333334,8.483333333333333,42.233333333333334,0.8333333333333334
7,0.0,1.1,0.0,0.0,58.9
8,0.0,0.0,0.0,0.0,0.0
9,1.7,1.1833333333333333,0.45,1.7,11.8
10,1.85,0.4,0.55,44.0,0.9666666666666667
11,1.95,0.35,0.31666666666666665,0.16666666666666666,28.633333333333333
12,3.933333333333333,0.38333333333333336,0.7833333333333333,1.2833333333333334,4.516666666666667
13,0.0,4.2,55.11666666666667,0.6833333333333333,0.0
14,5.483333333333333,0.21666666666666667,6.083333333333333,2.1666666666666665,0.9666666666666667
15,0.0,7.85,0.4,3.4833333333333334,0.4666666666666667
16,1.85,3.15,4.966666666666667,1.7333333333333334,1.25
17,0.6166666666666667,0.4166666666666667,8.316666666666666,2.183333333333333,1.9333333333333333
18,8.6,0.23333333333333334,0.7166666666666667,1.9,33.03333333333333
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.35,3.9833333333333334,50.13333333333333,1.65
21,0.0,0.0,0.0,0.0,60.0
22,0.0,0.0,60.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
