Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,51.916666666666664,7.083333333333333,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,15.9,4.183333333333334,0.0,11.516666666666667,21.2
6,0.5166666666666667,59.483333333333334,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,5.283333333333333,1.8333333333333333,0.0,0.0,52.88333333333333
9,0.0,0.0,0.0,0.0,0.0
10,0.0,48.2,0.0,8.25,3.0166666666666666
11,1.1666666666666667,43.46666666666667,0.55,0.43333333333333335,0.0
12,0.5166666666666667,1.75,3.6333333333333333,0.21666666666666667,9.9
13,46.56666666666667,0.15,3.316666666666667,2.4833333333333334,0.13333333333333333
14,3.65,3.816666666666667,6.766666666666667,3.4166666666666665,4.216666666666667
15,0.75,0.21666666666666667,22.7,1.95,0.5333333333333333
16,1.2166666666666666,5.833333333333333,10.383333333333333,5.8,1.1333333333333333
17,0.36666666666666664,2.816666666666667,2.716666666666667,14.916666666666666,3.283333333333333
18,0.0,0.0,0.0,0.0,0.0
19,0.0,60.0,0.0,0.0,0.0
20,0.0,0.38333333333333336,0.0,59.61666666666667,0.0
21,0.18333333333333332,4.4,0.0,15.366666666666667,0.8666666666666667
22,3.066666666666667,0.9666666666666667,11.25,1.0833333333333333,0.6
23,4.466666666666667,1.6,3.8833333333333333,6.466666666666667,2.8666666666666667
