Hour,blue_cage,green_cage,orange_cage,red_cage,yellow_cage
0,2.4166666666666665,0.2833333333333333,1.7166666666666666,33.2,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,60.0,0.0,0.0,0.0,0
6,0.0,58.45,1.55,0.0,0
7,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,7.65,6.483333333333333,0.21666666666666667,45.65,0
10,43.9,16.1,0.0,0.0,0
11,5.683333333333334,41.983333333333334,0.0,6.316666666666666,0
12,17.016666666666666,9.983333333333333,0.0,16.883333333333333,0
13,59.083333333333336,0.9166666666666666,0.0,0.0,0
14,0.26666666666666666,19.766666666666666,0.5333333333333333,4.183333333333334,0
15,2.566666666666667,14.483333333333333,1.9,0.16666666666666666,0
16,8.566666666666666,1.9,2.433333333333333,0.35,0
17,0.6166666666666667,11.55,0.0,1.0,0
18,0.0,0.5166666666666667,59.483333333333334,0.0,0
19,60.0,0.0,0.0,0.0,0
20,5.683333333333334,50.71666666666667,0.0,1.6,0
21,20.283333333333335,2.95,0.35,8.866666666666667,0
22,0.9833333333333333,24.483333333333334,11.85,2.5833333333333335,0
23,18.233333333333334,11.283333333333333,4.783333333333333,0.0,0
