Hour,blue_cage,orange_cage,green_cage,red_cage,yellow_cage
0,4.7,33.61666666666667,0.6166666666666667,0.0,0
1,0.0,0.0,0.0,0.0,0
2,60.0,0.0,0.0,0.0,0
3,0.0,0.0,60.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,4.85,0.0,55.15,0.0,0
6,19.416666666666668,0.2833333333333333,30.866666666666667,0.48333333333333334,0
7,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,5.516666666666667,0.4,44.9,0.0,0
10,8.083333333333334,0.0,0.0,51.916666666666664,0
11,1.2666666666666666,2.9,14.9,0.6333333333333333,0
12,0.3333333333333333,7.2,43.016666666666666,0.9,0
13,6.65,0.8666666666666667,3.5166666666666666,16.066666666666666,0
14,1.15,1.1,0.31666666666666665,26.15,0
15,2.0166666666666666,12.7,0.8,1.5666666666666667,0
16,0.4666666666666667,0.8,6.133333333333334,0.5166666666666667,0
17,0.2,0.8666666666666667,0.7666666666666667,2.3833333333333333,0
18,2.8333333333333335,0.4166666666666667,0.7,2.283333333333333,0
19,60.0,0.0,0.0,0.0,0
20,0.0,0.0,0.9,59.1,0
21,0.38333333333333336,40.06666666666667,0.6833333333333333,0.5166666666666667,0
22,7.983333333333333,1.0333333333333334,2.0166666666666666,1.3666666666666667,0
23,7.65,38.86666666666667,0.6,0.0,0
