Hour,green_cage,blue_cage,orange_cage,red_cage,yellow_cage
0,1.3833333333333333,1.7833333333333334,56.833333333333336,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.45,32.083333333333336,0.0,0.0,5.266666666666667
5,0.0,0.0,0.0,0.0,0.0
6,1.4333333333333333,0.6666666666666666,57.9,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,54.31666666666667,5.683333333333334,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,19.966666666666665,30.933333333333334,0.0,0.0,4.2
11,3.566666666666667,23.516666666666666,2.1166666666666667,0.2,7.583333333333333
12,2.6166666666666667,4.8,19.0,0.0,0.26666666666666666
13,3.9,2.683333333333333,12.0,2.5833333333333335,3.45
14,7.566666666666666,4.8,0.36666666666666664,0.16666666666666666,5.966666666666667
15,0.21666666666666667,4.316666666666666,0.8166666666666667,0.43333333333333335,10.7
16,1.4,1.8333333333333333,2.033333333333333,0.45,0.5666666666666667
17,0.9333333333333333,3.6666666666666665,7.9,0.0,0.65
18,3.45,36.43333333333333,0.13333333333333333,0.4166666666666667,4.766666666666667
19,0.0,0.0,57.65,0.0,2.35
20,0.23333333333333334,7.333333333333333,52.43333333333333,0.0,0.0
21,0.45,7.65,0.9833333333333333,0.0,0.18333333333333332
22,7.45,7.8,0.5333333333333333,0.5333333333333333,0.25
23,16.35,8.116666666666667,0.48333333333333334,6.183333333333334,4.716666666666667
