Mouse,blue_cage,green_cage,hub,orange_cage,red_cage,yellow_cage
79FBE3F,39.13333333333333,23.71323529411765,1273.3171568627452,21.13235294117647,1.3480392156862746,4.050490196078432
79FE409,49.050000000000004,58.52843137254902,1205.8514705882353,23.88480392156863,1.693137254901961,3.019607843137255
79FE81B,30.61078431372549,54.80539215686275,1259.9754901960785,23.223039215686274,0.7166666666666667,1.465686274509804
79FF741,60.85294117647059,68.87990196078431,1024.2686274509804,52.10980392156863,5.122058823529412,3.490686274509804
79FFE1E,11.003921568627451,38.23480392156863,1254.2598039215686,20.520098039215686,0.9401960784313725,2.795098039215686
79FFFB4,30.371078431372545,34.51078431372549,1271.6215686274509,27.521568627450982,1.7225490196078432,3.5073529411764706
7A017A8,54.40294117647059,30.63137254901961,1192.3627450980393,39.33382352941176,1.223529411764706,2.8769607843137255
7A01F42,60.66078431372549,66.70245098039216,1114.0911764705882,38.4406862745098,5.316666666666667,3.562254901960784
7A02564,51.27696078431373,41.80637254901961,1153.6254901960785,57.26911764705883,2.802941176470588,3.1593137254901964
7A3A0C7,22.08529411764706,61.78137254901961,1203.5867647058822,30.9078431372549,1.7264705882352942,3.4745098039215687
7A3AA93,44.05343137254902,46.057843137254906,771.3299019607844,117.5593137254902,3.2686274509803925,3.140686274509804
7A3BBC5,45.35980392156863,33.25098039215686,1262.963725490196,12.63529411764706,1.1338235294117647,2.801470588235294
7A3BF8F,32.63676470588236,35.36274509803921,1245.6563725490196,40.82696078431372,1.163235294117647,2.743137254901961
7A3BFA4,41.14313725490196,52.01029411764706,1245.051960784314,24.294607843137253,0.592156862745098,2.980392156862745
7A3DD59,11.054411764705883,35.48186274509804,1079.9401960784314,21.42205882352941,2.2931372549019606,2.5127450980392156
7A3E335,20.71323529411765,58.22303921568627,1236.8171568627452,10.580882352941176,0.8553921568627451,1.937254901960784
